Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
KF1,PM2.5,16/07/2020 00:00,3.3,ug/m3,P
KF1,PM2.5,17/07/2020 00:00,5.3,ug/m3,P
KF1,PM2.5,18/07/2020 00:00,4.2,ug/m3,P
KF1,PM2.5,19/07/2020 00:00,2.9,ug/m3,P
KF1,PM2.5,20/07/2020 00:00,3.8,ug/m3,P
KF1,PM2.5,21/07/2020 00:00,4.0,ug/m3,P
KF1,PM2.5,22/07/2020 00:00,4.4,ug/m3,P
KF1,PM2.5,23/07/2020 00:00,4.5,ug/m3,P
KF1,PM2.5,24/07/2020 00:00,3.7,ug/m3,P
KF1,PM2.5,25/07/2020 00:00,3.4,ug/m3,P
KF1,PM2.5,26/07/2020 00:00,4.3,ug/m3,P
KF1,PM2.5,27/07/2020 00:00,4.7,ug/m3,P
KF1,PM2.5,28/07/2020 00:00,3.1,ug/m3,P
KF1,PM2.5,29/07/2020 00:00,4.4,ug/m3,P
KF1,PM2.5,30/07/2020 00:00,4.2,ug/m3,P
KF1,PM2.5,31/07/2020 00:00,12.0,ug/m3,P
KF1,PM2.5,01/08/2020 00:00,4.2,ug/m3,P
KF1,PM2.5,02/08/2020 00:00,3.0,ug/m3,P
KF1,PM2.5,03/08/2020 00:00,2.8,ug/m3,P
KF1,PM2.5,04/08/2020 00:00,4.2,ug/m3,P
KF1,PM2.5,05/08/2020 00:00,2.8,ug/m3,P
KF1,PM2.5,06/08/2020 00:00,3.0,ug/m3,P
KF1,PM2.5,07/08/2020 00:00,9.1,ug/m3,P
KF1,PM2.5,08/08/2020 00:00,12.6,ug/m3,P
KF1,PM2.5,09/08/2020 00:00,17.5,ug/m3,P
KF1,PM2.5,10/08/2020 00:00,18.7,ug/m3,P
KF1,PM2.5,11/08/2020 00:00,,ug/m3,P
KF1,PM2.5,12/08/2020 00:00,,ug/m3,P
KF1,PM2.5,13/08/2020 00:00,20.2,ug/m3,P
KF1,PM2.5,14/08/2020 00:00,10.2,ug/m3,P
KF1,PM2.5,15/08/2020 00:00,13.0,ug/m3,P
KF1,PM2.5,16/08/2020 00:00,17.4,ug/m3,P
KF1,PM2.5,17/08/2020 00:00,4.5,ug/m3,P
KF1,PM2.5,18/08/2020 00:00,3.2,ug/m3,P
KF1,PM2.5,19/08/2020 00:00,3.6,ug/m3,P
KF1,PM2.5,20/08/2020 00:00,7.7,ug/m3,P
KF1,PM2.5,21/08/2020 00:00,7.9,ug/m3,P
KF1,PM2.5,22/08/2020 00:00,5.0,ug/m3,P
KF1,PM2.5,23/08/2020 00:00,3.9,ug/m3,P
KF1,PM2.5,24/08/2020 00:00,3.5,ug/m3,P
KF1,PM2.5,25/08/2020 00:00,3.6,ug/m3,P
KF1,PM2.5,26/08/2020 00:00,3.6,ug/m3,P
KF1,PM2.5,27/08/2020 00:00,5.9,ug/m3,P
KF1,PM2.5,28/08/2020 00:00,3.1,ug/m3,P
KF1,PM2.5,29/08/2020 00:00,3.8,ug/m3,P
KF1,PM2.5,30/08/2020 00:00,5.1,ug/m3,P
KF1,PM2.5,31/08/2020 00:00,6.0,ug/m3,P
KF1,PM2.5,01/09/2020 00:00,8.5,ug/m3,P
KF1,PM2.5,02/09/2020 00:00,6.2,ug/m3,P
KF1,PM2.5,03/09/2020 00:00,4.6,ug/m3,P
KF1,PM2.5,04/09/2020 00:00,5.7,ug/m3,P
KF1,PM2.5,05/09/2020 00:00,5.7,ug/m3,P
KF1,PM2.5,06/09/2020 00:00,5.8,ug/m3,P
KF1,PM2.5,07/09/2020 00:00,5.5,ug/m3,P
KF1,PM2.5,08/09/2020 00:00,3.2,ug/m3,P
KF1,PM2.5,09/09/2020 00:00,4.7,ug/m3,P
