site_id,reading_date,PM_25,location,address
LW5,18/12/2020 00:00,5.0,Deptford,"Deptford,London, United Kingdom"
LW5,19/12/2020 00:00,5.0,Deptford,"Deptford,London, United Kingdom"
LW5,20/12/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,21/12/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,22/12/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,23/12/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,24/12/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,25/12/2020 00:00,14.0,Deptford,"Deptford,London, United Kingdom"
LW5,26/12/2020 00:00,11.0,Deptford,"Deptford,London, United Kingdom"
LW5,27/12/2020 00:00,11.0,Deptford,"Deptford,London, United Kingdom"
LW5,28/12/2020 00:00,16.0,Deptford,"Deptford,London, United Kingdom"
LW5,29/12/2020 00:00,18.0,Deptford,"Deptford,London, United Kingdom"
LW5,30/12/2020 00:00,21.0,Deptford,"Deptford,London, United Kingdom"
LW5,31/12/2020 00:00,25.0,Deptford,"Deptford,London, United Kingdom"
LW5,01/01/2021 00:00,27.0,Deptford,"Deptford,London, United Kingdom"
LW5,02/01/2021 00:00,12.0,Deptford,"Deptford,London, United Kingdom"
LW5,03/01/2021 00:00,13.0,Deptford,"Deptford,London, United Kingdom"
LW5,04/01/2021 00:00,8.0,Deptford,"Deptford,London, United Kingdom"
LW5,05/01/2021 00:00,10.0,Deptford,"Deptford,London, United Kingdom"
LW5,06/01/2021 00:00,12.0,Deptford,"Deptford,London, United Kingdom"
LW5,07/01/2021 00:00,24.0,Deptford,"Deptford,London, United Kingdom"
LW5,08/01/2021 00:00,27.0,Deptford,"Deptford,London, United Kingdom"
LW5,09/01/2021 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,10/01/2021 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,11/01/2021 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,12/01/2021 00:00,12.0,Deptford,"Deptford,London, United Kingdom"
LW5,13/01/2021 00:00,19.0,Deptford,"Deptford,London, United Kingdom"
LW5,14/01/2021 00:00,9.0,Deptford,"Deptford,London, United Kingdom"
LW5,15/01/2021 00:00,25.0,Deptford,"Deptford,London, United Kingdom"
LW5,16/01/2021 00:00,18.0,Deptford,"Deptford,London, United Kingdom"
LW5,17/01/2021 00:00,14.0,Deptford,"Deptford,London, United Kingdom"
LW5,18/01/2021 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,19/01/2021 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,20/01/2021 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,21/01/2021 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,22/01/2021 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,23/01/2021 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,24/01/2021 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,25/01/2021 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,26/01/2021 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,27/01/2021 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,28/01/2021 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,29/01/2021 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,30/01/2021 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
